Tweet,Keyword,pcl
"Buldozer Sai hi desh chala lete hai
Kiu thik hai na
Matlab LAW naam ki chiz hai hi nahi
 r case solve karkai faisla aanai mai - saal lag jaatai hai aur yaha bas suspicion honai mai buldozer
Agar aadmi galat hai to kanun Kai hisaab Sai saza do
Yaa kanoon itna kamzor hai",kamzor,2
Long march na manzoor long march na manzoor long march sirf apni khawayshein pora karne ke leye mulk ko kamzor karne ki sazish na manzoor long march na manzoor pakistan zinda baadh pak army isi isi zinda baadh pakistan khushal tho hum khushal mazboot. ,kamzor,0
Hum ko sirf apne piyare mulk ka sochna he kisi party ke liye nahein na hi ak aadmi ke liye long march mulk ko kamzor karte hein mahshi halath khirab hote hein dushman uss se khush hote hein ak aadmi ke liye apne piyare mulk se na khelein pakistan khushal tho hum khushal mazboot. ,kamzor,0
Apni ghltyon sy abi tk kya seekha hy.? Pehlay he PMLN kamzor hoi pari hy opar sy aisay oangay lu gy tu fana hu jaye gi mazeed.Pakistan awam is waiting your actions but kindly be ready for reaction as well. Defo reaction will be more powerful and dangerous for country.,kamzor,0
Aray Bhai unko Salary aur Behtereen khana milta hai Kamzor kyun hongay aur hum unko kaise Kamzor kar saktay hein. Albatta Fouj ka Boss galat Bandah hai. MarchAgainstImportedGovt,kamzor,0
Hamari establishment itni kamzor hogayee k is chor daku say kahay k mulk sambhalo,kamzor,0
Or as per Islamic alsool inkay hath katnay cheay tha waha.. Lakin kamzor awam sirf awaz h buland kar sakti hai or zalim hakim k samny kalima haq bolna bhe jahad hai Miftah ismil par bhe ihtijaj kia hoga apne hope fully,kamzor,0
"Iman ki nishaniyan be yahe hein bhai ,ke zulm ko hath se roko ,nhe to zuban se roko aur sb se kamzor nishani yeh hy Dil mai he bura Jan lo",kamzor,0
"Takatwar ke sath to koi bhi khada ho sakta hai 
Lekin kisi kamzor ka sath dena hi takatwar ki pahchan hoti hai
UmarArmy UmarRiazInLockUpp
KKundrraSquad AsimSquad

DESERVING WINNER ANJALI anjaliarora ",kamzor,0
"Shiv Sena NCP ki jhallahat hai ki sarkar ko girane ki sajish ho rahi hai, kafi hasya spad hai. Itni kamzor sarkar hai kisi ke hanuman chalisa padne se gir jayegi to satta men kyun baithe ho, chor do n. Court men ja kar keh rahe ho humari sarkar girana chahte hai log, sharm karo ",kamzor,0
Mardangi kamzor ke upar nahi dikhayi jaati hai madam,kamzor,0
Bewakoof h log wahi sale ko nipta dena chahiye tha kabtak daroge darta wo h jo kayar buzdil iman se kamzor hota h,kamzor,0
"Yeh sahab pehley, ek naachti larki dekhtey TV peh tho, program band aur jalao girao peh ajatey they.. Imaan kamzor hogaya hey sahab ka ",kamzor,0
"Maulvi ka kirdar islam main yaha tak hee mahdood reh gayay hay, afsoos. Pakistan movement kay time, waqt kay ulema nay Quaid ka sath nibhaya, kuch nay unko Kaffirr bolaya. Quaid e azam nay hikmet say Yeh mulk jeeta, angre say bhi baat kee, Muqadam lara. Jab kamzor ho yehi tareeqa",kamzor,2
"The tolerance of Indian police is dependent on the type of the person they might be dealing with.
As the saying goes, police jhukti bhi hai, jhukati bhi hai.
Kamzor ho to jhukae gi, agar takatwar ho to jhuk bhi jaegi.
As for the US police, let's let the Americans decide. ",kamzor,1
"Abhay jhapar! Kon sei wiki page kai link dei raha hai? Khud India walo kai, teri country Abhi, jis tareekai sei sei eject hua, phir Pakistani civilians kai samnay kamzor nangai bachai ki tarha kaap raha tha, aur dudes pilot lambi chutti pei bheja hai",kamzor,1
"Mera buhat say dost, sathi ya hi sochtay hain lakin asal haqiqat ya hai k Imran khan ko kamzor Govt jan kay di gai jis ki wajha say wo faislay nai kar saka ju karna chahata tha. Is dafa him sab nay apnay vote ka khail rakhna hai / majority say lana hai ",kamzor,0
"Ek Aurat tab kamzor hoti hai Jab tak woh roti hai Jis din se usne rona chord diya Toh unko rona padega Jinhone usko rulaya hai...
",kamzor,2
"Diwas to kamzoro ka manaya jaata hai 
Aur duniya ka mazdoor kamzor to nahi hai agar ek ho jaaye to poori duniya ki takht hila Sakta hai",kamzor,0
"Maryam aur bhaga huwa chor baap Kab tak pakrogy, they abused both army and Pakistan but LEAs didn't budge... Kamzor k liy ek qanoon aur powerful k liy doosra.. ""NAA MANZOOR""",kamzor,2
"we all are hindus , we have our roots intact with this pawan bhoomi called hindustan aur bharat. Hamari matrabhooMi ke tukde sirf bahar wale chah sakte hai.Hindu sikh ko lada ke wo hame kamzor karne ki kosis kar rahe hai .Wo jo bahar se aaye hai. Wo jo hamare Desh ke pehle hi ",kamzor,0
"Jo itna kamzor ho ki suicide kare .....he does not deserve to be in forces ....Armed forces job requires lot of physical mental strength and people with suicidal tendencies are mentally vulnerable and not suitable force
Are you not trying to justify what he did....???",kamzor,1
Fouj ko kamzor us ke apnay leaders kr rhe hein ,kamzor,0
"Aap Siren bajao citi bajao jo bhi karo,lekin atleast mereko kamzor na samjho. Mai kuch bhi kar sakti hu, kuch paane ke liye jitna niche girti hu,utna hi upar charti hu. Chahe to aap mere family friends colleagues sabse puch lo",kamzor,0
Khan ne kbhi mazhab k naam per kisi ko kuch nhi kaha q k unka believe ha k mazhab card per wo log khelte hain jinka apna emaan kamzor ho warna hua to unke dour me bhi bht kuch in choro ne bht si aisi baaten ki jin per arrest kya jasakta tha,kamzor,0
Dosro ki khamion par Nazar dalny sa zayda behtar hota agar hum apnay AP ko Sahi kar lian. Army ka adary ko apny control ma karny ka matlb riyasat ko kamzor karny ka Koshish ho sakti ha ya sabaq inn ko sabka hukmrano ka sath hony wali dandapir ki sakhti ko yad rakhna chahi tha,kamzor,0
"bajwa sb ko dikhayen ye sb.
bajwa sb ap say zyada kamzor insan mene ni dekha.
yaqeen kren ain jesi shaklon ko hi select krna tha to kam az kam army ki wardi utar ke krty. ",kamzor,0
Ajeeb be sharam insaan ho. Maryam chor ke liye apna mazhab chor diya? Itne kamzor Musulman? ,kamzor,0
Kamzor Dil gabra gy hai non league hi Hawa tu Khan ki bato sy nikl jati hai jb real show ho ga tu in ka kiya bany ga,kamzor,0
Allah sab janta hy Jo humy peda krny wala hy dill k hal bhi or neyat bhi so please jo sacha hy Allah py bhrosa rkhta hy Allah usy kbhi tnha nhi chorta so please ksi leader k bhkavy mae apna iman kamzor mt kro,kamzor,0
"No point convincing ppl who are thinking otherwise, jyada bhai bhai karoge toh aur kamzor samjhe jaoge",kamzor,0
"Siayasat, aur muhabbat bohat bayreham cheez hoti hay, sirf kamzor memory walay ya baray dil walay kar saktay hay. ",kamzor,0
Q gaye hain maafi k lia? Ap log is tarah say behvar kr k khud ko kamzor zahir kartay hain.,kamzor,0
"Bahaduri bandooq or wardi ki ghulam nahi, aik kamzor, mazloom ka kalma e haq bhi jihad hai. Sare bandoo, aslahe ko aag laga dain. Yeah jung aap har gae",kamzor,0
Ap apny moaqaf ko kamzor kar dogy lehaza bhai na ap ka moaqaf kamzor dhekna chahta hai na apny chennal ki bezti.. Allah pak ap k mushkelat door farma de.,kamzor,0
"G bilkul...
Lekin hum ghulam ni han ghulam to wo han jo apne korsi bachane ko kisi had tak jasakta han
Importad hkomat na manxoor...",ghulam,1
"Ye ult pictire bana li aap ne ...
PTI america ki ghulami se azadi k liye or PMLN America ki ghulam hai.",ghulam,0
"Tum s bara fitna r fasadi koi nhi ho skta , jo apni siasat k lae bhi mazhab card use krty ho",ghulam,0
Are you mad. Besharam wo Hain Jin Kay bachy London ma baith KY khty Hain ham Pakistani shahri ni. Tum ghulam log kia janu yeh batain,ghulam,0
Hahahahahahahahahahaah arasto sab ye kia hai nasha to ni kiya?? America tmhe laye hai or ghulam pti kis k ghulam?,ghulam,2
What about the one who is sitting in London and his bachi is playing with Pakistani children future.,ghulam,0
Gulam ibne ghulam bap ki ghulami ab bachon ki ghulami .. aney wali tamam naslon ki ghulami mubarak ho..,ghulam,0
Chup karo begherat insan tmhare maryam ne hukm diya tha kuch keh skte ho plastic ki nani ko? Uske ghulam ho begherto,ghulam,0
"Abay budhay too kia teri aukat kia to azal sy ghulam hai.
Or abad tk ghulam rahy ga.
Or yeh orat azal sy fitna hai or abad tk fitna phailati rahy gi.",ghulam,0
This kind of training we all need than we will get ride of these choors.,ghulam,0
"Bibi apka leader hee london betha hai apko yeh bolne se phele thori sharam kerni chaiyeh! Bilkul thori si sharam. Pakistan k loogon apki terhan nawaz k ya shabaz k bachon ki zaroorat nai! Alhumdulillah. Ap loog ghulam hoo jo inke peeche khare hote hoo, humein apne jaisa na samje",ghulam,2
"O ghulam ki awlaad, chaatu, Khan k bachay shuro sai yahan nahi, aur tunharay us dallay k bachay tou khud ko Pakistani tak nahi kehtay. Aa tuuu teri is gandi shaqal pay. Ghulam ki bachi, pori zindagi talway he chatogi tum",ghulam,0
You are right aap jesy ghulam logon main ye word hai hi nahi is liy aap aisy kah sakty hain itna kafi hai ya kuch mazi k qisy pesh karoon?,ghulam,0
Tumhe dekhke yakin ho gaya hum angrejo ke Ghulam kaise aur kitni asaani se ban gaye,ghulam,0
"lol I never said they don't know. Plz hosley sey parhien meri tweets. I said they cant even decide and le me explain

Multan division ppl want all of South Punjab including Mianwali and Khushab, districts that don't even want to be in South Punjab

Buhawalpur wants its own etc",south punjab,0
"I just said it was better, things have been worse 
and south Punjab is just a political gimmick. Kal kara lo referendum. Ban gaya to btana. They cant even decide what exactly they want ",south punjab,2
Phir south punjab walay kyun okhay huay rehtay hein lahorion se? Best CM unkay thqs theek nai rakhta ya wahan uska dabdaba nahi doctors per?,south punjab,1
I went to a small city in South Punjab and found charbi in every single sabzi or daal I came across...why would anyone do that??,south punjab,0
Mein bhe waheen rehta hon. Ye sari batein sari umar showbaz k baray bhe hoti aye hein. Awein na south punjab sooba mangtay log agar pmln walay non-lhri dialect wali punjabis ko bhe punjabi samajhtay hotay,south punjab,1
Quite developed when you compare it to South Punjab but still only - families have ruled the politics of district and they still continue to do so. PTI gave one seat of MPA to a new candidate here and he lost. MNA along with other MPA both won but a new guy lost. In our -(),south punjab,1
"Yeh becharay kia krain inkay adjad azadi k hero thay aur majboori e halat mn Angrezon k kuttay nehlanay walay khandan k fard aur maimon k gohray k malishi k potay k samnay mulazim bn gaye
Ap history parho jitnay south punjab pti k hn, inky ajdad maimon k kaar e khas thay",south punjab,2
U MUST BE FROM SOUTH PUNJAB suffering for real,south punjab,2
"Woh dada ka badla le raha, jb iska dada gorion k kuttay nehlata tha is aadmi ka pardada azadi ki jang lar raha tha, pti south punjab k sary leadron k daday kutta bath ki nokri krtay thy",south punjab,0
"Itna paise anay ky bad bhi okat nai badli manhos ghatiya tareen insan, south punjab ky logo ki izat per ganda tareen dagh",south punjab,0
Bhangion ne Lahore rule essay nahin kiya ... and secondly south Punjab is extremely colonized region of Pakistan ... Sad but fact national charter suites these people.,south punjab,0
What about south Punjab interior sindh agr hm reh rhy hain to bhaye tm logo ko b rhna pary ga,south punjab,2
Pakistan political cutlure aysa hi hai. apko bhi pta hai South Punjab mein jhuk kr mila jata hai. Rawayat ko criticize krna ghlt hai. Sindh culture mein hath jor kheriat pochi jati hai jo k hindu culture se ayi kia usko hm ghlt kehna shuru kr den?,south punjab,1
"Mje tw next GE mai ppp ki game sb sai strong lgti boys ko pta pmln masti krti hai wo ppp ko sindh, south punjab dai gai .. baki Balochistan wale sth mila k aur punjab mai sai kch independent dai k ppp ko main party bna dain gai ..",south punjab,0
Bhai ye career politician nai. Ye apne salai makhdoom k kandai per charh k musharaf ki cabinet me aya tha. He has always been establishment tout. In he n others from South Punjab were making so called Clean party. But later estb told them to join PTI to keep Khan in check.,south punjab,0
"InshAllah he will. 
South punjab me pehle b load shedding pmln ne khatam ki thi",south punjab,2
"Jalse bhi zarori han, attock, mianwali, abbottabad, mardan, jehlum in shehron sa logon na hi islamabad jana hai, lahore ya south punjab sa umeed na rakho. Dosra uskeliye finances aur sponsers bhi dhondne ma waqt lagta hai aur boys na bhi time manga hua according to sheikhu",south punjab,0
"khaki steal 's of acers from south punjab and still these agri land forsale on OLX.
inko control karna paray ga iss sey pahle kah yeah sara pakistan kha jayen",south punjab,0
Yar acha mouqa hai...south Punjab alag ker Kay udher buzdar ko betha do...waisay konsa sab Kam constitution Kay mutabiq ho rehay Hain,south punjab,0
Sahiwal phir bhi behther he hamre south punjab se,south punjab,2
Ik to election bhi rts bund hone k baad jeeta.South punjab se leker center punjab tak.saqib nisar se leker chairman nab tak sub k zor lagane k bawajood simple majority nahi lesaka. karor ka pakistan he posh areas ki non political or croupt class is k saath he aam public nahi,south punjab,0
Bhai isi bahane divide hi kar do!! south punjab walay bhi khush ho jayein ge! happily ever after ho jaye ga scene!,south punjab,2
"Han ji wirasat mein mila hai sharifon ko, South Punjab ka chooran Hamain sab bech chuke hain including PPP.",south punjab,0
reject imran khan kyu ke multan na. isko MNAs aor MPAs diya aor. is. na. hamare liye kya kya south punjab bill tk pass na karaya,south punjab,0
we are from multan and reject imran khan kyu ke is bnde na south punjab province ka jhoota wada kiya tha aor poora nahi kiya aor aik bill pass na marayaMarchAgainstImportedGovt,south punjab,0
"bhai baloch south punjab or karachi me b bht hain, jis din panjgur , kalat or khuzdar me jao gy khud un ki killiyon me betho gy tb pta chalay ga Balochistan kiya hai batain tau khan b achi ker leta hai per kon sa suchi hoti hain.",south punjab,0
Aur doosri baat ham India se aay hi nahi thy.. Mery ajdad sadyon se hi South Punjab me reh rahen hain us waqt sy jab tumhary dada apny sardaron k kehny pr aag pr chalty thy... Aur yeh aqeeda rkhty thy k sardar hawai fire kry tu barish ho jaay gi,south punjab,0
"We worked hard for South Punjab Province and also presented the bill. InshAllah with /rd majority Ill give you the province! I invite all segments of our society to join me in this Haqeeqi Azaadi march!-

 MarchAgainstImportedGovt ",south punjab,3
"But she had to travel alone. Being a woman is a crime in this society, they don't deserve women, women are NEVER appreciated for their contribution are humiliated in every nd household (especially in Pushtoons).
At the end, they ask us why we opt for ""Aurat March"", the irony!.",aurat,2
Har aurat apny shohar ky liye ghar py mazdoori krti,aurat,1
"Jahan roti mazdoor ki tankhaah se mehngi ho jaye wahan do cheez sasti ho jata hai.
. Aurat ki Izzat
. Mard ki Ghairat.
LabourDay",aurat,0
Aurat moqa na de to mard peechey hi par jata hai me agr hijab me niklun to bewaja log mujhe follow krtay hain number mangtay hain me to Nazar utha kr dekhti b nhi,aurat,0
Tou merey pass tum ho jaisay dramay banana band kar dain. Riyasat e madina mai aik shadi shuda aulad wali aurat ghair mard kay saath ayashi nai karti. Ghar baith kar fatway daina asaan hai.,aurat,0
"Baysharam aurat tum to roz apni qeemat lgwati ho tumhain kya pta Halal aur haram ka Sach aur Insaaf ka,chalo Mot to tumhain ani he hai he uskay baad pta chl jayga !",aurat,0
America na regime change operation kia ha .aisay tau nae chorday ga inko. Yaqeenan Kuch din ma imdaad aa jae ge. Foran aa gae tau sabko pata Chal jae ga.,imdaad,0
"Assalamualaikum,
Hazarat Aap Sab Apna Zakaat, Sadqa Society Par Pahunchayen, Insha Allah Beva Aur Gareeb Aurato Me Takseem Kiya Jayega. ",imdaad,1
Allah iss amal aur imdaad kou qabool kare aur Insha'allah ye mustahikeen tak pouhanch jaye. Na sirf ye balkeh iss ke sabab mulk e Pakistan ko darpaish masaiel ke haal keliye Allah SWT ghaibi madad ata fermaye. Aameen,imdaad,0
"O bhai itni imdaad k saath thora sa doodh or patti bhi bejh dety. Kam se kam Talibaan apny lye chaai bana lety. WTF yar kia mazaak banaya hua is country ka. 
MarchAgainstlmportedGovt 
 ",imdaad,0
"kaise keh de k mehngai hai. Q k imran khan ki hakomat m inki pockets ni bhari jati tho tb un k liye mebngai thi ab crupt hakomat ne aty hi in faqeron ko starts m langar dyna suro kr dia ha inki imdaad suro kr di hai jo . years nahi mili.
",imdaad,0
Afghanistan walo bewakoof bana raha hai tumhy khah jaye ga khudh Yeah imdaad,imdaad,0
Ap sahi keh rhe he bhai k Pakistan ki poori awaam ghareeb he sirf ap k kaptan k ilawa jisne Pakistan ka sara pesa khud k aisho ishrat me enjoy kiya tum log kaya jano ge ghareb logon k haal jinko mahene ki Arab imdaad ho jati he ghareb awaam k kamae hua peson me se for enjoyments,imdaad,2
Apny liya Imdaad ki apil ki hogi dykha Allah ny atty hi bhikri ko bhikari bana diya,imdaad,0
Bhai Imran Khan Rupees ki Okaat nahe samajhta apnay Supporters ki aap maazi ki Saray Supporters se pochlo Jo marjaata hai uskay Ghar Tak nahe jaata na koe Imdaad .ye bhot he .......... Hai,imdaad,0
In ghareeb begharo ko agr zakat fund se imdaad mil jai to bachio ki shaadi bhi krlen,imdaad,1
"Meri biwiyan aur chotay chotay bachay hain, fitrana de k meri imdaad kijiye ",imdaad,0
MashaaAllah army k ghareeb general ko america imdaad de deta hai aur hum pakistaniyon ko hausla Allah Pak de deta hai,imdaad,0
"Allah SWT Un Tamam Logon Ki Imdaad Farmaye Madad Farmaye Jinke Paas Eid Ki Khushiyan Manane Ke Liye Kuch Na Ho ...

Ilahi Ameen ...",imdaad,0
Kiran Baji Pakistan apnay mamlaat kesay handle Kerta hai ? American Statement Department say Imdaad leker IMF Ya World Bank say Qarz leker plz Rehnumai farmaain.,imdaad,1
Aur ap literally . saal jo jhut k sandwich bana k news bol k hamain baichte thy aj wou sara thooka chaat rahey hain. jo kal tak bheek thi aaj imdaad ban gyi. jo kal tak sab economy barbad thi literally din main sab acha ho gya. ap N league k tarjumaan ho kaka. we can see it,imdaad,0
"Paise baantne waalon ke liye Good News... Kal Saare Eidgaah khule rahenge jinke baher aapko fitra dene aur Imdaad karne ke beshumar mauke milenge.
'Kal ke liye Twitter se Off day le lein' ",imdaad,0
"If u only rely on Geo news than it's great
Bhai itni imdaad agai hai to IMF ke paas bhi mat jaate aur woh jahan kr IK ka zikar naa krte ",imdaad,0
"Tum shukriya se pehle maafi maango, q k tumhare khandan ne inhi mazdooron ka haq khaya hai. Inke naam pe qarze le k r inke liye aayi imdaad kha k tum jeson ne in mazdooron ko bheek maangne pe majboor ker diya!",imdaad,2
"Or wo chor or jaib qatro Ka Kia Jin ko Punjab police ki khas imdaad hasil hen...
",imdaad,0
Oh choothiye behkaari tum loag ho hum nahi hum ne na to kisi imdaad li na lein Bhosdhi k kuttay Apni maa behn aur biwi ko inka bister gharam karne k lye lehta du .. Jahil Insaan,imdaad,0
madam mujhy AP ki taraf se koi imdaad nhi Mili JB k mn gareeb hoon AP k serve bhi sahi nhi hua Jo Ameer hain wo Le rhy JB k mn na ahel hoon,imdaad,0
Aj pata chala kay sindh kay halaat Itnay buray kuen hain kuenkay wahan tum aur tumharay leader jaisay gaddar hotay hain jo taraki par nahi balkay gaddari par focus rakhtay hain,buray halaat sindh,2
"woh naa bhi dain toh unk naam per yeh vote daal dete hain.. sindh k halaat buhut buray hain... wahan wadera raaj hai, koi gareeb kisaan unk khilaaf khara nahi hopata",buray halaat sindh,2
Sindh mai halaat is sy behtar hi hain jo aj punjab mai hain medicine idhr nai hain mehangayi ny kamar tor di hy lhawab e khargosh sy bahir ayein toh pata lagay k kya bana hua hy...!!! Hm toh hain hi buray ap toh achy hain apna jwb dein??? ,buray halaat sindh,1
"Theek hy overall Pakistan ki situation Chal he rahi hy , Pr sindh to Bilkul he bichra hua hy apni zati hukomat honay k bawajood udhr aam logon k kafi buray halaat hien.",buray halaat sindh,2
Both Punjab and KP pay well. Sindh me tou kafi buray halaat hain.,buray halaat sindh,2
"Sindh se vote le k PPP ny Sindh ko kuch alag bana dia hota to kiya baat hote.. aisa kuch nahi hai.
karachi k halat se maloom hota k sindh m halaat aur bhe buray hain",buray halaat sindh,1
"Dear sindh govt jub apke logon ko tv pe baith ker bakwas kerne se fursat miljaye toh plz humari sarkon se pani hatwadena. Bohut buray halaat hain. Ghar main road ka pani araha hai.
Love, Karachi walay 
KarachiRain ",buray halaat sindh,1
"Ju paisay ko itni value detay hain k paisay aur power k liye apni biwi ka qatal karwa detay hain.. aur qatil baaap ka chakka beta ab aa k bashan dey raha hai...

Sindh main hamesha se apki hakoomat hai tak sindh itnay buray halaat mai kyun hai??",buray halaat sindh,0
"Sindh Nursing Students k saath justice karen.
Unhen iss COVID- kay buray halaat main fori promote karen.
Examination iss condition main liye ja nahi sakty.
 
 
PromoteAllSindhNursingStudents",buray halaat sindh,0
"Sir Apki is bt sy koi ikhtilaf nhi k Sindh ma governess k buray halaat ha.
Rahi bt Gadho ki to kya ye sb Punjab ma ni ho rha? Kpk or balochistan ma ni ho rha?
Agr ho rha ha to ARY sirf sindh ko Q target kr rhi ha or imran khan ko day one sy protect kr rhi ha kya yahi sahafat ha?",buray halaat sindh,0
Education k sab say buray halaat hain hi sindh mein ,buray halaat sindh,1
Acha chalain aap emaandari sai jawab dain.. Pakistan ham sab ka hai.. KP bhi hamara sindh bhi hamara. Aur hamara mazhab kehta hai kai halaat agar buhat buray hon tou hijrat karo. Aap KP kiun hijrat nahin kar rahay. Wahan itna masla nahin hai na.,buray halaat sindh,1
"Sindh ki aala shakhsiyat kaafi hansnay k baad jawaab dia hoga k waderon, zameendaron aur Jageerdaaron k halaat Pakistan mein achay buray chaltay rehtay hein",buray halaat sindh,0
"Sindh k log qabil-e-ehtiram hyn lykin inn ki ghurbat, bhook aur buray halaat dekh kr buhat afsos hota hy. Kya inn ki iss condition sy PPP ki leadership ko koi farq parta hy. Aam awam to abhi bhi unhin chakkaron myn phansi hui hy aur politicians ki daulat barhti ja rhi hy.",buray halaat sindh,2
"PPP will keep on winning in Sindh, they don't give a damn about people and their buray halaat because they know 'Bhutto Zinda Hai!'",buray halaat sindh,1
"Aur Please ap Sindh p focus kren. Shadeed buray halaat hain. Na pani hai, na gutter, na hi koi development project aur na toh Local govt ! ",buray halaat sindh,1
Sindh mn khaas tour pr Maeeshat ko chalany wali city Karachi ka bohat hi buray halaat Hain aur hum har darwazay par dastak de chukay magar koi sunnay Wala nahi? ,buray halaat sindh,2
"Sindh k halaat itny buray ni hein jitni ap bata rahy hein n Bhutto SB ne Pakistan ko identity di ha,ap jaisay tatto aisay e scholar bannay ki koshish krty rehty hein,u do not have sense also",buray halaat sindh,0
"Lala sb sy ziada electric companies bills receive hi Punjab sy krti hain... Sb sy kam Balochistan aur KPK sy hoty hain...phr northern Sindh waly bi kam ni hain especially Nawabshah, Larkana, Sukkur aur Hyderabad waly... Wahan bi bills ke buray halaat hain aur log pay hi ni krty",buray halaat sindh,0
"KPK k halaat sindh say b buray hain, ye kisi mohtaram che justice k alfaz hain",buray halaat sindh,1
Islamabad: Wazir e Sehat Hisham Inamullah Supreme Court Me Paish. KPK Me Sehat K Hawalay Se Sindh Se Bhi Buray Halaat Hain. Chief Justice,buray halaat sindh,1
Kiaaa??? Thar Afghanistan meh hai??? Sindh Afghanistan ka hissa hai?? Nawaz toh keh rha tha hum traqqi yafta Pakistan chor kr gy hn toh itnay buray halaat q hain??,buray halaat sindh,1
